"Date","Price","Open","High","Low","Change %"
"Feb 22, 2021","6.308","6.297","6.368","6.297","0.88%"
"Feb 18, 2021","6.253","6.243","6.395","6.232","0.34%"
"Feb 17, 2021","6.232","6.281","6.281","6.220","0.61%"
"Feb 16, 2021","6.194","6.264","6.264","6.193","0.00%"
"Feb 15, 2021","6.194","6.194","6.264","6.185","0.85%"
"Feb 12, 2021","6.142","6.168","6.168","6.134","-0.02%"
"Feb 11, 2021","6.143","6.255","6.255","6.143","-0.44%"
"Feb 10, 2021","6.170","6.178","6.231","6.170","-0.03%"
"Feb 09, 2021","6.172","6.196","6.200","6.144","1.01%"
"Feb 08, 2021","6.110","6.136","6.179","6.089","-0.15%"
"Feb 05, 2021","6.119","6.075","6.214","6.075","1.12%"
"Feb 04, 2021","6.051","6.068","6.068","6.042","-0.15%"
"Feb 03, 2021","6.060","6.111","6.111","6.060","-0.88%"
"Feb 02, 2021","6.114","6.138","6.160","6.112","1.46%"
"Feb 01, 2021","6.026","5.889","6.095","5.852","2.90%"
"Jan 29, 2021","5.856","5.872","5.876","5.856","-0.12%"
"Jan 28, 2021","5.863","5.894","5.894","5.860","-0.03%"
"Jan 27, 2021","5.865","5.882","5.908","5.865","0.15%"
"Jan 25, 2021","5.856","5.891","5.925","5.852","0.10%"
"Jan 22, 2021","5.850","5.875","5.909","5.850","-0.02%"
"Jan 21, 2021","5.851","5.910","5.910","5.851","0.14%"
"Jan 20, 2021","5.843","5.868","5.868","5.843","0.05%"
"Jan 19, 2021","5.840","5.928","5.928","5.840","-0.15%"
"Jan 18, 2021","5.849","5.980","5.980","5.849","-0.12%"
"Jan 15, 2021","5.856","5.870","5.929","5.841","0.58%"
"Jan 14, 2021","5.822","5.846","5.863","5.822","-0.03%"
"Jan 13, 2021","5.824","5.797","5.846","5.792","0.45%"
"Jan 12, 2021","5.798","5.847","5.847","5.779","0.57%"
"Jan 11, 2021","5.765","5.780","5.780","5.765","1.05%"
"Jan 08, 2021","5.705","5.797","5.797","5.701","0.26%"
"Jan 07, 2021","5.690","5.710","5.710","5.685","0.00%"
"Jan 06, 2021","5.690","5.682","5.732","5.682","0.69%"
"Jan 05, 2021","5.651","5.666","5.682","5.649","-0.12%"
"Jan 04, 2021","5.658","5.716","5.716","5.658","-0.74%"
"Jan 01, 2021","5.700","5.733","5.766","5.700","-0.51%"
"Dec 31, 2020","5.729","5.734","5.738","5.722","-0.21%"
"Dec 30, 2020","5.741","5.768","5.776","5.735","-0.42%"
"Dec 29, 2020","5.765","5.818","5.818","5.764","-0.03%"
"Dec 28, 2020","5.767","5.777","5.777","5.760","-0.17%"
"Dec 24, 2020","5.777","5.819","5.819","5.777","-0.21%"
"Dec 23, 2020","5.789","5.854","5.854","5.789","0.03%"
"Dec 22, 2020","5.787","5.809","5.809","5.787","-0.40%"
"Dec 21, 2020","5.810","5.872","5.872","5.803","0.22%"
"Dec 18, 2020","5.797","5.855","5.855","5.793","0.14%"
"Dec 17, 2020","5.789","5.806","5.806","5.789","-0.16%"
"Dec 16, 2020","5.798","5.806","5.806","5.794","0.17%"
"Dec 15, 2020","5.788","5.803","5.803","5.777","-0.19%"
"Dec 14, 2020","5.799","5.856","5.857","5.799","-0.21%"
"Dec 11, 2020","5.811","5.807","5.854","5.787","0.47%"
"Dec 10, 2020","5.784","5.809","5.809","5.775","0.09%"
"Dec 09, 2020","5.779","5.851","5.851","5.779","-0.50%"
"Dec 08, 2020","5.808","5.806","5.843","5.801","0.26%"
"Dec 07, 2020","5.793","5.793","5.860","5.788","0.31%"
"Dec 04, 2020","5.775","5.835","5.852","5.769","-0.74%"
"Dec 03, 2020","5.818","5.845","5.845","5.815","-0.07%"
"Dec 02, 2020","5.822","5.862","5.862","5.822","-0.12%"
"Dec 01, 2020","5.829","5.845","5.862","5.817","0.57%"
"Nov 27, 2020","5.796","5.841","5.841","5.788","0.64%"
"Nov 26, 2020","5.759","5.806","5.806","5.759","-0.29%"
"Nov 25, 2020","5.776","5.848","5.848","5.771","-0.02%"
"Nov 24, 2020","5.777","5.836","5.836","5.777","-0.53%"
"Nov 23, 2020","5.808","5.823","5.823","5.795","0.10%"
"Nov 20, 2020","5.802","5.849","5.849","5.801","-0.31%"
"Nov 19, 2020","5.820","5.841","5.846","5.820","-0.09%"
"Nov 18, 2020","5.825","5.842","5.842","5.825","-0.02%"
"Nov 17, 2020","5.826","5.897","5.897","5.826","-0.21%"
"Nov 13, 2020","5.838","5.897","5.897","5.838","-0.53%"
"Nov 12, 2020","5.869","5.935","5.935","5.869","0.00%"
"Nov 11, 2020","5.869","5.944","5.944","5.869","-0.02%"
"Nov 10, 2020","5.870","5.919","5.919","5.870","0.51%"
"Nov 09, 2020","5.840","5.862","5.862","5.840","0.33%"
"Nov 06, 2020","5.821","5.854","5.854","5.821","-0.44%"
"Nov 05, 2020","5.847","5.855","5.896","5.843","-0.29%"
